id	population_code	superpopulation	Ancestry1	Ancestry2	Ancestry3
HG01881	ACB	AFR	0.082143	0.000010	0.917847
HG02307	ACB	AFR	0.000010	0.000010	0.999980
HG02284	ACB	AFR	0.000010	0.000010	0.999980
HG02012	ACB	AFR	0.170172	0.000010	0.829818
HG02053	ACB	AFR	0.049905	0.000010	0.950085
HG02143	ACB	AFR	0.043101	0.000010	0.956889
HG02308	ACB	AFR	0.000010	0.000010	0.999980
HG02321	ACB	AFR	0.000010	0.000010	0.999980
HG02420	ACB	AFR	0.477258	0.000010	0.522732
HG02317	ACB	AFR	0.000010	0.000010	0.999980
NA20340	ASW	AFR	0.063432	0.000010	0.936558
NA20339	ASW	AFR	0.000010	0.000010	0.999980
NA20294	ASW	AFR	0.000010	0.000010	0.999980
NA19705	ASW	AFR	0.153294	0.000010	0.846696
NA20348	ASW	AFR	0.031295	0.000010	0.968695
NA19707	ASW	AFR	0.103305	0.053884	0.842811
NA19913	ASW	AFR	0.070978	0.000010	0.929012
NA20281	ASW	AFR	0.004136	0.000010	0.995854
NA20282	ASW	AFR	0.383025	0.000010	0.616965
NA19920	ASW	AFR	0.143115	0.000010	0.856875
HG04194	BEB	SAS	0.818469	0.181521	0.000010
HG03817	BEB	SAS	0.837825	0.162165	0.000010
HG04184	BEB	SAS	0.851768	0.148222	0.000010
HG03799	BEB	SAS	0.607704	0.392286	0.000010
HG03926	BEB	SAS	0.794928	0.205062	0.000010
HG04188	BEB	SAS	0.823909	0.176081	0.000010
HG03830	BEB	SAS	0.793109	0.206881	0.000010
HG04158	BEB	SAS	0.834066	0.165924	0.000010
HG03910	BEB	SAS	0.607213	0.392777	0.000010
HG03814	BEB	SAS	0.814732	0.185258	0.000010
HG02398	CDX	EAS	0.000012	0.999978	0.000010
HG00881	CDX	EAS	0.000010	0.999980	0.000010
HG01046	CDX	EAS	0.000010	0.999980	0.000010
HG01804	CDX	EAS	0.000010	0.999980	0.000010
HG02180	CDX	EAS	0.000014	0.999976	0.000010
HG00978	CDX	EAS	0.000012	0.999978	0.000010
HG02389	CDX	EAS	0.000010	0.999980	0.000010
HG02182	CDX	EAS	0.000010	0.999980	0.000010
HG02164	CDX	EAS	0.000011	0.999979	0.000010
HG02355	CDX	EAS	0.000015	0.999975	0.000010
NA12272	CEU	EUR	0.999980	0.000010	0.000010
NA12776	CEU	EUR	0.999977	0.000013	0.000010
NA12414	CEU	EUR	0.999980	0.000010	0.000010
NA12814	CEU	EUR	0.999979	0.000011	0.000010
NA12813	CEU	EUR	0.999980	0.000010	0.000010
NA12865	CEU	EUR	0.999980	0.000010	0.000010
NA10838	CEU	EUR	0.999973	0.000017	0.000010
NA12873	CEU	EUR	0.999980	0.000010	0.000010
NA12342	CEU	EUR	0.999980	0.000010	0.000010
NA10831	CEU	EUR	0.999980	0.000010	0.000010
NA18546	CHB	EAS	0.000013	0.999977	0.000010
NA18610	CHB	EAS	0.000015	0.999975	0.000010
NA18603	CHB	EAS	0.000010	0.999980	0.000010
NA18748	CHB	EAS	0.000014	0.999976	0.000010
NA18621	CHB	EAS	0.000019	0.999971	0.000010
NA18749	CHB	EAS	0.000013	0.999977	0.000010
NA18593	CHB	EAS	0.000010	0.999980	0.000010
NA18641	CHB	EAS	0.000011	0.999979	0.000010
NA18573	CHB	EAS	0.000010	0.999980	0.000010
NA18646	CHB	EAS	0.000010	0.999980	0.000010
