id	population_code	superpopulation	Ancestry1	Ancestry2	Ancestry3	Ancestry4	Ancestry5
HG01881	ACB	AFR	0.934833	0.000010	0.000010	0.000010	0.065137
HG02307	ACB	AFR	0.999960	0.000010	0.000010	0.000010	0.000010
HG02284	ACB	AFR	0.000010	0.000010	0.999960	0.000010	0.000010
HG02012	ACB	AFR	0.000010	0.000010	0.855031	0.000010	0.144939
HG02053	ACB	AFR	0.000010	0.000010	0.990574	0.000010	0.009396
HG02143	ACB	AFR	0.000010	0.000010	0.985521	0.000010	0.014449
HG02308	ACB	AFR	0.000010	0.000010	0.999960	0.000010	0.000010
HG02321	ACB	AFR	0.999960	0.000010	0.000010	0.000010	0.000010
HG02420	ACB	AFR	0.534096	0.000010	0.000010	0.000010	0.465874
HG02317	ACB	AFR	0.999960	0.000010	0.000010	0.000010	0.000010
NA20340	ASW	AFR	0.000010	0.000010	0.964404	0.000010	0.035566
NA20339	ASW	AFR	0.999960	0.000010	0.000010	0.000010	0.000010
NA20294	ASW	AFR	0.999960	0.000010	0.000010	0.000010	0.000010
NA19705	ASW	AFR	0.000010	0.000010	0.872748	0.000010	0.127222
NA20348	ASW	AFR	0.976594	0.000010	0.000010	0.000010	0.023376
NA19707	ASW	AFR	0.857418	0.000010	0.000010	0.142552	0.000010
NA19913	ASW	AFR	0.951476	0.000010	0.000010	0.000010	0.048494
NA20281	ASW	AFR	0.000010	0.000010	0.999960	0.000010	0.000010
NA20282	ASW	AFR	0.629965	0.000010	0.000010	0.000010	0.370005
NA19920	ASW	AFR	0.000010	0.000010	0.886670	0.000010	0.113300
HG04194	BEB	SAS	0.000010	0.199993	0.000010	0.000010	0.799977
HG03817	BEB	SAS	0.000010	0.182462	0.000010	0.000010	0.817508
HG04184	BEB	SAS	0.000010	0.122654	0.000010	0.334065	0.543261
HG03799	BEB	SAS	0.000010	0.401371	0.000010	0.000010	0.598599
HG03926	BEB	SAS	0.000010	0.399727	0.000010	0.000010	0.600243
HG04188	BEB	SAS	0.000010	0.196843	0.000010	0.000010	0.803127
HG03830	BEB	SAS	0.000010	0.227047	0.000010	0.000010	0.772923
HG04158	BEB	SAS	0.000010	0.188610	0.000010	0.000010	0.811360
HG03910	BEB	SAS	0.000010	0.409055	0.000010	0.000010	0.590915
HG03814	BEB	SAS	0.000010	0.393315	0.000010	0.000010	0.606655
HG02398	CDX	EAS	0.000010	0.999960	0.000010	0.000010	0.000010
HG00881	CDX	EAS	0.000010	0.999960	0.000010	0.000010	0.000010
HG01046	CDX	EAS	0.000010	0.999960	0.000010	0.000010	0.000010
HG01804	CDX	EAS	0.000010	0.999960	0.000010	0.000010	0.000010
HG02180	CDX	EAS	0.000010	0.999960	0.000010	0.000010	0.000010
